survey,model,eta2_orig,eta2_cueless,eta2_genprob,eta2_baseline,wmv_orig,wmv_cueless,wmv_genprob,p_eta_orig,p_eta_cueless,p_eta_genprob
PVQ,Qwen2.5-72B-Instruct,0.7147,0.5201,0.0703,0.2308,0.3804,0.6835,0.8443,0.0,0.005,0.079
PVQ,Qwen2.5-7B-Instruct,0.5978,0.3247,0.0345,0.2308,0.4222,0.6793,0.8887,0.001,0.133,0.574
PVQ,Qwen3-235B-A22B-Instruct-2507-FP8,0.5803,0.6065,0.0485,0.2308,0.5704,0.5299,0.8491,0.0,0.0,0.288
PVQ,Qwen3-30B-A3B-Instruct-2507,0.3394,0.5062,0.0397,0.2308,0.8615,0.6298,0.9448,0.096,0.008,0.442
PVQ,gemma-3-27b-it,0.6687,0.4262,0.0201,0.2308,0.4608,0.8437,1.0663,0.0,0.033,0.87
PVQ,gemma-3-4b-it,0.6006,0.4629,0.029,0.2308,0.5326,0.6643,0.9779,0.002,0.013,0.68
PVQ,gpt-oss-120b,0.5097,0.3223,0.0294,0.2308,0.5774,0.7337,1.0954,0.002,0.168,0.687
PVQ,gpt-oss-20b,0.1996,0.2857,0.0323,0.2308,1.0186,0.8776,0.8798,0.618,0.269,0.633
BFI44,Qwen2.5-72B-Instruct,0.7331,0.3055,0.0384,0.093,0.3198,0.7811,1.1106,0.0,0.004,0.249
BFI44,Qwen2.5-7B-Instruct,0.5133,0.3148,0.0206,0.093,0.5533,0.8028,1.2338,0.0,0.002,0.601
BFI44,Qwen3-235B-A22B-Instruct-2507-FP8,0.3231,0.2904,0.0269,0.093,0.8031,0.8283,1.2026,0.004,0.01,0.454
BFI44,Qwen3-30B-A3B-Instruct-2507,0.6188,0.1153,0.0142,0.093,0.4649,1.0527,1.0821,0.0,0.266,0.757
BFI44,gemma-3-27b-it,0.5186,0.1335,0.0125,0.093,0.5652,1.0068,0.9484,0.0,0.221,0.78
BFI44,gemma-3-4b-it,0.7868,0.5318,0.007,0.093,0.2503,0.5332,1.0877,0.0,0.0,0.915
BFI44,gpt-oss-120b,0.1456,0.1082,0.0096,0.093,0.9905,1.029,0.9965,0.187,0.341,0.849
BFI44,gpt-oss-20b,0.3004,0.1277,0.0164,0.093,0.7908,0.9899,1.1775,0.006,0.241,0.695
