construct,mean_f1,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,Qwen3-235B-A22B-Instruct-2507-FP8,Qwen3-30B-A3B-Instruct-2507,gemma-3-27b-it,gemma-3-4b-it,gpt-oss-120b
Achievement,0.8816326530612244,1.0,1.0,0.8,0.8,1.0,0.5714285714285715,1.0
Universalism,0.8408163265306122,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6,1.0
Conformity,0.8238095238095238,1.0,1.0,0.8,0.8,0.6666666666666666,0.5,1.0
Benevolence,0.8095238095238095,1.0,1.0,0.8,0.6666666666666666,0.8,0.4,1.0
Hedonism,0.782312925170068,1.0,1.0,0.6666666666666666,0.5714285714285715,0.6666666666666666,0.5714285714285715,1.0
Stimulation,0.6829931972789117,0.8,0.8,0.5714285714285715,0.6666666666666666,0.5714285714285715,0.5714285714285715,0.8
Self-Direction,0.6764378478664194,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285715,0.3636363636363636,1.0
Security,0.636734693877551,1.0,0.8,0.5,0.5714285714285715,0.5,0.2857142857142857,0.8
Tradition,0.5768707482993197,0.6666666666666666,0.6666666666666666,0.4,0.4,0.6666666666666666,0.5714285714285715,0.6666666666666666
Power,0.5301587301587302,0.4,0.5,0.8,0.6666666666666666,0.5,0.4444444444444445,0.4
