construct,mean_f1,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,Qwen3-235B-A22B-Instruct-2507-FP8,Qwen3-30B-A3B-Instruct-2507,gemma-3-27b-it,gemma-3-4b-it,gpt-oss-120b
Achievement,0.9292929292929293,1.0,1.0,0.888888888888889,0.888888888888889,1.0,0.7272727272727273,1.0
Hedonism,0.8248299319727891,1.0,0.8571428571428571,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.6666666666666666,1.0
Universalism,0.8096687257899111,0.8571428571428571,0.923076923076923,0.7058823529411764,0.7499999999999999,0.8,0.631578947368421,1.0
Conformity,0.7578231292517007,0.888888888888889,1.0,0.8,0.8,0.5714285714285715,0.4444444444444445,0.8
Benevolence,0.7164385648857697,0.8,0.888888888888889,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.34782608695652173,0.8571428571428571
Self-Direction,0.6960650460650462,0.888888888888889,0.7272727272727273,0.8,0.7272727272727273,0.6153846153846153,0.3636363636363636,0.75
Stimulation,0.6703558346415488,0.7499999999999999,0.8571428571428571,0.6,0.6666666666666666,0.5,0.4615384615384615,0.8571428571428571
Tradition,0.5233560090702948,0.5714285714285715,0.5714285714285715,0.4444444444444445,0.4,0.5714285714285715,0.5333333333333333,0.5714285714285715
Power,0.5165532879818594,0.5,0.4444444444444444,0.6,0.6,0.5,0.4,0.5714285714285715
Security,0.48930283267851327,0.6666666666666665,0.6,0.5,0.4615384615384615,0.4210526315789473,0.27586206896551724,0.5
