construct,mean_f1,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,Qwen3-235B-A22B-Instruct-2507-FP8,Qwen3-30B-A3B-Instruct-2507,gemma-3-27b-it,gemma-3-4b-it,gpt-oss-120b
Agreeableness,0.21266187902853978,0.20276497695852533,0.21686746987951808,0.2113821138211382,0.23148148148148145,0.26436781609195403,0.26728110599078336,0.09448818897637795
Stimulation,0.18548585744798776,0.14545454545454545,0.16438356164383564,0.24999999999999994,0.24096385542168675,0.22448979591836737,0.20168067226890754,0.07142857142857142
Achievement,0.1449164717500273,0.12307692307692307,0.0923076923076923,0.17699115044247785,0.14414414414414414,0.1590909090909091,0.18181818181818182,0.136986301369863
Power,0.1314903382564666,0.0,0.058823529411764705,0.2518518518518518,0.0879120879120879,0.16915422885572137,0.20634920634920634,0.14634146341463417
Hedonism,0.11232175884438111,0.05714285714285715,0.09523809523809523,0.14925373134328357,0.17142857142857143,0.16129032258064518,0.1518987341772152,0.0
Conscientiousness,0.10860118930169507,0.02222222222222222,0.0449438202247191,0.15476190476190474,0.1320754716981132,0.22222222222222224,0.13636363636363638,0.04761904761904762
Security,0.07334968725116435,0.06451612903225808,0.06896551724137931,0.07792207792207792,0.08035714285714286,0.06363636363636363,0.08465608465608465,0.07339449541284403
Benevolence,0.06670703095859817,0.06282722513089006,0.08,0.06451612903225806,0.08333333333333334,0.07407407407407407,0.07189542483660132,0.030303030303030304
Universalism,0.06231918180745472,0.08571428571428572,0.07142857142857144,0.029850746268656716,0.06756756756756756,0.047619047619047616,0.05405405405405405,0.07999999999999999
Self-Direction,0.06010739784693,0.0821917808219178,0.08695652173913043,0.06584362139917696,0.057761732851985555,0.06217616580310881,0.03950617283950617,0.026315789473684213
Openness,0.04594297539584296,0.02816901408450704,0.0,0.049079754601226995,0.054644808743169404,0.03488372093023256,0.096,0.0588235294117647
Conformity,0.04100666110941381,0.02150537634408602,0.030303030303030304,0.05517241379310345,0.0425531914893617,0.05555555555555555,0.046242774566473986,0.03571428571428572
Extraversion,0.0379985125956311,0.0,0.0,0.09302325581395349,0.0425531914893617,0.04878048780487805,0.08163265306122448,0.0
Tradition,0.011904761904761904,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
Neuroticism,0.007542656761361603,0.0,0.0,0.014084507042253521,0.0,0.009302325581395349,0.029411764705882353,0.0
